usuario,productos_tot_num,compras_tot_num,precio_medio_prod,ultima_compra,gasto_tot,productos_por_compra,F,M,ult_compra_dias,R,valor,RFM
206707690,39,1,2.7512820512820513,2020-01-06,107.3,39.0,1,1,54,4,6,411
206869261,36,1,1.408611111111111,2019-11-29,50.709999999999994,36.0,1,1,92,2,4,211
207373867,6,1,3.215,2019-10-28,19.29,6.0,1,1,124,1,3,111
207914401,3,1,3.97,2019-12-26,11.91,3.0,1,1,65,3,5,311
214649367,8,1,3.5862499999999997,2020-02-18,28.689999999999998,8.0,1,1,11,5,7,511
215774309,5,1,9.318000000000001,2019-10-31,46.59,5.0,1,1,121,1,3,111
217401021,4,1,3.3525,2019-12-04,13.41,4.0,1,1,87,3,5,311
220428560,5,1,2.13,2019-11-03,10.649999999999999,5.0,1,1,118,2,4,211
220878471,4,1,3.6475,2020-02-29,14.59,4.0,1,1,0,5,7,511
221363364,4,1,8.7975,2019-10-25,35.19,4.0,1,1,127,1,3,111
224165262,11,1,6.540909090909091,2019-10-11,71.95,11.0,1,1,141,1,3,111
227060608,13,1,3.083076923076923,2019-12-20,40.08,13.0,1,1,71,3,5,311
227354339,20,1,3.9515000000000002,2019-12-26,79.03,20.0,1,1,65,3,5,311
227880547,9,3,4.115555555555556,2020-01-28,37.040000000000006,3.0,1,1,32,4,6,411
229079556,3,1,6.289999999999999,2020-01-19,18.869999999999997,3.0,1,1,41,4,6,411
230818889,43,1,5.93093023255814,2020-02-10,255.03000000000003,43.0,1,1,19,5,7,511
230849522,8,1,5.50625,2019-11-21,44.05,8.0,1,1,100,2,4,211
230991755,32,3,5.5649999999999995,2020-02-03,178.07999999999998,10.666666666666666,1,1,26,5,7,511
231055816,20,1,5.3165,2019-11-29,106.32999999999998,20.0,1,1,92,2,4,211
231076778,54,2,8.718333333333334,2020-02-25,470.79,27.0,1,2,4,5,8,512
231098663,2,1,9.765,2019-10-19,19.53,2.0,1,1,133,1,3,111
231204997,17,2,5.1499999999999995,2020-02-12,87.55,8.5,1,1,17,5,7,511
231241114,80,2,2.62275,2020-02-07,209.82,40.0,1,1,22,5,7,511
231278865,5,1,2.29,2020-02-11,11.45,5.0,1,1,18,5,7,511
231343945,7,1,13.485714285714284,2019-11-22,94.39999999999999,7.0,1,1,99,2,4,211
231350148,5,1,12.459999999999999,2019-11-23,62.3,5.0,1,1,98,2,4,211
231363422,141,15,5.381418439716312,2020-02-26,758.7800000000001,9.4,4,3,3,5,12,543
231412385,22,1,5.710909090909091,2019-11-07,125.64,22.0,1,1,114,2,4,211
231475474,6,1,9.101666666666667,2019-11-07,54.61,6.0,1,1,114,2,4,211
231541482,3,1,22.650000000000002,2019-12-20,67.95,3.0,1,1,71,3,5,311
231579858,11,1,5.168181818181818,2020-01-28,56.849999999999994,11.0,1,1,32,4,6,411
231719601,54,5,7.491666666666667,2020-02-17,404.55,10.8,1,2,12,5,8,512
231745893,21,5,3.455238095238095,2020-01-14,72.56,4.2,1,1,46,4,6,411
231835422,19,2,3.14,2020-02-27,59.660000000000004,9.5,1,1,2,5,7,511
231850412,35,3,4.738571428571428,2020-02-19,165.85,11.666666666666666,1,1,10,5,7,511
231890271,3,1,5.766666666666667,2019-12-03,17.3,3.0,1,1,88,3,5,311
231892300,8,1,5.1875,2019-10-26,41.5,8.0,1,1,126,1,3,111
232081367,49,5,5.2667346938775506,2020-01-20,258.07,9.8,1,1,40,4,6,411
232273004,57,6,4.748245614035088,2020-02-20,270.65000000000003,9.5,2,1,9,5,8,521
232572214,4,1,3.9675,2019-10-19,15.87,4.0,1,1,133,1,3,111
232748314,17,2,5.324117647058824,2020-02-08,90.51,8.5,1,1,21,5,7,511
232752813,60,1,7.151333333333333,2020-02-13,429.08,60.0,1,2,16,5,8,512
233018872,3,1,4.92,2020-01-31,14.76,3.0,1,1,29,5,7,511
233101300,15,1,3.4386666666666668,2019-10-23,51.58,15.0,1,1,129,1,3,111
233133829,9,2,8.5,2019-10-29,76.5,4.5,1,1,123,1,3,111
233280499,200,11,4.2913,2020-02-27,858.26,18.181818181818183,3,3,2,5,11,533
233400855,8,2,10.45625,2020-02-12,83.65,4.0,1,1,17,5,7,511
233498262,4,1,3.41,2020-01-06,13.64,4.0,1,1,54,4,6,411
233538678,2,1,11.07,2019-11-15,22.14,2.0,1,1,106,2,4,211
233945784,17,1,1.506470588235294,2020-01-14,25.61,17.0,1,1,46,4,6,411
234170424,55,12,3.867090909090909,2020-02-24,212.69,4.583333333333333,3,1,5,5,9,531
234210416,11,1,3.5799999999999996,2019-10-21,39.379999999999995,11.0,1,1,131,1,3,111
234217056,4,2,5.945,2020-01-21,23.78,2.0,1,1,39,4,6,411
234242945,2,1,10.855,2019-11-28,21.71,2.0,1,1,93,2,4,211
234401772,8,2,5.06125,2020-01-27,40.49,4.0,1,1,33,4,6,411
234451292,3,1,34.60333333333333,2019-12-09,103.81,3.0,1,1,82,3,5,311
234651934,143,1,5.341328671328672,2020-02-25,763.8100000000001,143.0,1,3,4,5,9,513
234662054,8,1,8.6575,2020-02-11,69.26,8.0,1,1,18,5,7,511
234666728,3,1,5.24,2019-11-06,15.72,3.0,1,1,115,2,4,211
234867697,6,1,10.0,2019-10-17,60.0,6.0,1,1,135,1,3,111
234892121,12,1,6.513333333333333,2019-11-07,78.16,12.0,1,1,114,2,4,211
235297216,17,2,5.616470588235294,2020-01-27,95.47999999999999,8.5,1,1,33,4,6,411
235829301,7,1,7.2871428571428565,2020-02-07,51.01,7.0,1,1,22,5,7,511
236091000,14,1,5.237142857142857,2019-11-29,73.32,14.0,1,1,92,2,4,211
236324195,31,1,2.851935483870968,2019-10-24,88.41,31.0,1,1,128,1,3,111
236687500,18,1,4.508333333333334,2019-10-09,81.15,18.0,1,1,143,1,3,111
236758939,4,1,3.2025,2019-10-20,12.81,4.0,1,1,132,1,3,111
236833159,16,1,2.999375,2020-01-22,47.99,16.0,1,1,38,4,6,411
236896759,12,1,3.3375,2019-11-21,40.05,12.0,1,1,100,2,4,211
236897248,6,2,3.0666666666666664,2020-02-09,18.4,3.0,1,1,20,5,7,511
236976931,15,1,5.530666666666666,2020-02-11,82.96,15.0,1,1,18,5,7,511
236991754,34,2,1.5055882352941177,2019-12-02,51.19,17.0,1,1,89,3,5,311
237424878,2,1,7.2250000000000005,2020-02-19,14.450000000000001,2.0,1,1,10,5,7,511
237642678,7,1,5.562857142857142,2020-01-09,38.94,7.0,1,1,51,4,6,411
237725411,1,1,2.38,2020-01-22,2.38,1.0,1,1,38,4,6,411
238082659,141,9,3.1070921985815603,2020-02-27,438.1,15.666666666666666,2,2,2,5,9,522
238152804,1,1,0.4,2020-02-03,0.4,1.0,1,1,26,5,7,511
238517656,4,1,14.01,2020-01-24,56.04,4.0,1,1,36,4,6,411
238706610,94,1,3.5639361702127657,2020-02-25,335.01,94.0,1,2,4,5,8,512
238785735,4,2,4.445,2019-12-26,17.78,2.0,1,1,65,3,5,311
239513862,8,1,3.98,2019-11-29,31.84,8.0,1,1,92,2,4,211
239518816,1,1,11.03,2019-12-22,11.03,1.0,1,1,69,3,5,311
239850299,10,1,3.752,2019-11-28,37.519999999999996,10.0,1,1,93,2,4,211
240258671,12,2,5.565833333333333,2020-01-21,66.78999999999999,6.0,1,1,39,4,6,411
240445456,10,2,4.131,2019-12-17,41.31,5.0,1,1,74,3,5,311
240514353,2,1,6.43,2019-11-14,12.86,2.0,1,1,107,2,4,211
240601287,5,1,2.8020000000000005,2019-11-11,14.010000000000002,5.0,1,1,110,2,4,211
240637593,1,1,26.98,2020-02-19,26.98,1.0,1,1,10,5,7,511
240746811,17,2,2.8723529411764703,2020-02-18,48.83,8.5,1,1,11,5,7,511
240781186,1,1,11.75,2019-11-09,11.75,1.0,1,1,112,2,4,211
240911779,2,1,10.32,2020-02-07,20.64,2.0,1,1,22,5,7,511
241028723,2,1,6.625,2020-01-23,13.25,2.0,1,1,37,4,6,411
241349737,2,1,6.67,2020-01-29,13.34,2.0,1,1,31,4,6,411
241779443,22,2,4.838636363636364,2020-02-08,106.45,11.0,1,1,21,5,7,511
241831359,6,3,12.62,2019-12-24,75.72,2.0,1,1,67,3,5,311
241896096,24,1,2.3491666666666666,2019-10-10,56.379999999999995,24.0,1,1,142,1,3,111
242189901,4,1,9.2075,2019-11-07,36.83,4.0,1,1,114,2,4,211
242389353,2,1,4.835,2019-10-19,9.67,2.0,1,1,133,1,3,111
242494740,5,1,6.808,2020-01-04,34.04,5.0,1,1,56,4,6,411
242609841,12,1,3.5108333333333337,2019-12-03,42.13,12.0,1,1,88,3,5,311
242788587,2,1,7.77,2019-10-26,15.54,2.0,1,1,126,1,3,111
243095024,3,1,12.616666666666667,2020-01-20,37.85,3.0,1,1,40,4,6,411
243442808,3,1,8.31,2019-10-02,24.93,3.0,1,1,150,1,3,111
243693117,27,1,1.435925925925926,2020-02-27,38.77,27.0,1,1,2,5,7,511
244010719,29,1,4.56551724137931,2020-02-23,132.4,29.0,1,1,6,5,7,511
244255064,31,2,3.120645161290323,2019-12-21,96.74000000000001,15.5,1,1,70,3,5,311
244818036,7,2,4.248571428571429,2020-02-04,29.740000000000002,3.5,1,1,25,5,7,511
244970138,10,2,2.779,2019-12-23,27.79,5.0,1,1,68,3,5,311
245245580,6,1,2.856666666666667,2019-12-12,17.14,6.0,1,1,79,3,5,311
245430690,18,3,5.571666666666666,2020-01-02,100.28999999999999,6.0,1,1,58,4,6,411
246040090,7,1,6.022857142857142,2019-10-31,42.16,7.0,1,1,121,1,3,111
246785161,9,3,4.687777777777778,2020-01-28,42.19,3.0,1,1,32,4,6,411
247070043,5,2,4.572,2019-12-26,22.86,2.5,1,1,65,3,5,311
247152796,8,1,4.98,2019-10-20,39.84,8.0,1,1,132,1,3,111
247180811,4,1,5.8825,2019-12-21,23.53,4.0,1,1,70,3,5,311
247228196,17,1,4.439411764705882,2019-12-23,75.47,17.0,1,1,68,3,5,311
247551584,21,4,6.045714285714286,2020-02-26,126.96000000000001,5.25,1,1,3,5,7,511
247678945,11,1,4.183636363636364,2019-10-03,46.019999999999996,11.0,1,1,149,1,3,111
247762869,9,2,12.505555555555555,2020-02-15,112.55,4.5,1,1,14,5,7,511
247986696,64,2,2.15171875,2019-12-12,137.71,32.0,1,1,79,3,5,311
248505332,3,1,3.9966666666666666,2019-11-08,11.99,3.0,1,1,113,2,4,211
248696160,1,1,5.08,2020-01-27,5.08,1.0,1,1,33,4,6,411
248704072,19,1,4.724210526315789,2019-11-23,89.76,19.0,1,1,98,2,4,211
248736997,60,3,4.230166666666666,2019-11-24,253.80999999999997,20.0,1,1,97,2,4,211
248780538,17,1,6.208823529411765,2019-11-08,105.55,17.0,1,1,113,2,4,211
249104324,7,1,4.381428571428571,2019-12-14,30.669999999999995,7.0,1,1,77,3,5,311
249495364,5,1,2.624,2019-10-23,13.120000000000001,5.0,1,1,129,1,3,111
249543055,12,1,6.12,2020-01-04,73.44,12.0,1,1,56,4,6,411
249689089,10,2,7.803999999999999,2020-01-01,78.03999999999999,5.0,1,1,59,4,6,411
249788639,9,1,5.24,2019-11-07,47.160000000000004,9.0,1,1,114,2,4,211
250259242,5,1,2.318,2019-12-02,11.59,5.0,1,1,89,3,5,311
250590143,7,1,5.458571428571429,2019-10-21,38.21,7.0,1,1,131,1,3,111
250951320,6,1,3.81,2019-12-12,22.86,6.0,1,1,79,3,5,311
251084804,2,1,9.96,2019-10-10,19.92,2.0,1,1,142,1,3,111
251154080,11,3,5.091818181818182,2020-01-13,56.01,3.6666666666666665,1,1,47,4,6,411
251396819,3,1,8.6,2020-02-10,25.799999999999997,3.0,1,1,19,5,7,511
251402489,4,1,2.475,2019-12-09,9.9,4.0,1,1,82,3,5,311
251513219,11,1,3.2172727272727273,2019-12-18,35.39,11.0,1,1,73,3,5,311
251541886,20,2,4.05,2019-11-03,81.0,10.0,1,1,118,2,4,211
251717161,8,1,6.575,2019-12-01,52.6,8.0,1,1,90,3,5,311
251778228,11,1,2.3981818181818184,2020-02-28,26.380000000000003,11.0,1,1,1,5,7,511
251920703,6,1,2.9116666666666666,2019-11-29,17.47,6.0,1,1,92,2,4,211
252292528,3,2,18.996666666666666,2019-12-26,56.989999999999995,1.5,1,1,65,3,5,311
252549984,5,1,14.601999999999999,2020-01-18,73.00999999999999,5.0,1,1,42,4,6,411
253540919,6,1,6.453333333333333,2020-02-22,38.72,6.0,1,1,7,5,7,511
253639666,9,1,2.531111111111111,2020-01-24,22.78,9.0,1,1,36,4,6,411
254009927,10,1,9.519000000000002,2020-02-18,95.19000000000003,10.0,1,1,11,5,7,511
254049042,3,1,3.393333333333333,2019-11-28,10.18,3.0,1,1,93,2,4,211
254175666,17,1,2.585294117647059,2019-12-04,43.95,17.0,1,1,87,3,5,311
254179249,7,1,4.085714285714286,2019-12-11,28.600000000000005,7.0,1,1,80,3,5,311
254231508,36,3,5.354722222222223,2019-12-11,192.77,12.0,1,1,80,3,5,311
254493727,4,2,19.1,2020-02-22,76.4,2.0,1,1,7,5,7,511
254658495,1,1,10.4,2019-11-21,10.4,1.0,1,1,100,2,4,211
254743116,42,5,2.808809523809524,2020-02-10,117.97,8.4,1,1,19,5,7,511
254961454,13,1,3.6361538461538463,2019-10-10,47.27,13.0,1,1,142,1,3,111
255564790,2,1,11.73,2020-02-01,23.46,2.0,1,1,28,5,7,511
255833625,1,1,4.05,2019-11-22,4.05,1.0,1,1,99,2,4,211
256554907,15,3,7.869333333333333,2019-11-22,118.03999999999999,5.0,1,1,99,2,4,211
256690485,43,4,4.482790697674418,2020-02-06,192.76,10.75,1,1,23,5,7,511
257010152,7,1,3.5685714285714285,2019-11-08,24.98,7.0,1,1,113,2,4,211
257697839,11,1,4.546363636363636,2020-02-06,50.01,11.0,1,1,23,5,7,511
257891642,26,2,4.2153846153846155,2019-12-01,109.60000000000001,13.0,1,1,90,3,5,311
258570795,42,1,1.565238095238095,2019-11-22,65.74,42.0,1,1,99,2,4,211
258650042,14,1,3.2971428571428576,2019-12-13,46.160000000000004,14.0,1,1,78,3,5,311
258934793,3,1,7.403333333333333,2020-02-26,22.21,3.0,1,1,3,5,7,511
258983595,48,5,4.328333333333333,2020-02-29,207.76,9.6,1,1,0,5,7,511
259181409,14,1,6.627857142857144,2019-10-24,92.79,14.0,1,1,128,1,3,111
259278808,13,1,2.5053846153846155,2019-12-17,32.57,13.0,1,1,74,3,5,311
260206006,106,7,2.9310377358490567,2020-02-24,310.69,15.142857142857142,2,1,5,5,8,521
260660595,8,1,3.9825,2019-10-07,31.86,8.0,1,1,145,1,3,111
260950749,4,1,7.14,2019-12-14,28.56,4.0,1,1,77,3,5,311
261011827,7,1,1.9157142857142857,2020-01-21,13.41,7.0,1,1,39,4,6,411
261022235,5,1,3.15,2019-10-05,15.75,5.0,1,1,147,1,3,111
261715536,36,1,5.867777777777778,2019-12-11,211.24,36.0,1,1,80,3,5,311
264021199,9,1,1.3044444444444445,2019-11-22,11.74,9.0,1,1,99,2,4,211
264300861,7,1,7.597142857142857,2019-10-10,53.18,7.0,1,1,142,1,3,111
265204535,4,1,3.2249999999999996,2019-12-01,12.899999999999999,4.0,1,1,90,3,5,311
266279138,4,1,11.965,2020-01-28,47.86,4.0,1,1,32,4,6,411
267020380,38,3,4.761578947368421,2019-12-12,180.94,12.666666666666666,1,1,79,3,5,311
267219465,80,5,4.325125,2020-02-25,346.01,16.0,1,2,4,5,8,512
267278306,17,3,11.670588235294119,2020-02-16,198.40000000000003,5.666666666666667,1,1,13,5,7,511
267735860,3,1,2.796666666666667,2019-11-07,8.39,3.0,1,1,114,2,4,211
267857836,5,1,4.378,2019-10-02,21.89,5.0,1,1,150,1,3,111
268032927,10,2,9.682,2019-12-25,96.82000000000001,5.0,1,1,66,3,5,311
268356621,3,1,4.06,2019-11-06,12.18,3.0,1,1,115,2,4,211
269151386,1,1,7.78,2019-10-06,7.78,1.0,1,1,146,1,3,111
270366947,1,1,9.52,2019-11-13,9.52,1.0,1,1,108,2,4,211
270739325,5,1,2.57,2019-12-16,12.85,5.0,1,1,75,3,5,311
271025108,6,1,8.996666666666668,2019-11-26,53.980000000000004,6.0,1,1,95,2,4,211
271307921,8,1,5.595,2019-12-05,44.76,8.0,1,1,86,3,5,311
271721606,2,1,19.68,2020-02-19,39.36,2.0,1,1,10,5,7,511
272409251,4,1,5.1075,2019-11-04,20.43,4.0,1,1,117,2,4,211
272764255,1,1,19.03,2019-12-22,19.03,1.0,1,1,69,3,5,311
272966180,4,1,3.0175,2020-02-19,12.07,4.0,1,1,10,5,7,511
273308416,24,5,3.8841666666666668,2020-01-20,93.22,4.8,1,1,40,4,6,411
