,categoria,conteo
212,1487580012457492629,37
426,2195085255117897760,36
156,1487580010293231679,36
200,1487580011945787526,34
334,1814592470537732872,34
285,1559261858748170632,34
165,1487580010721050707,33
398,2114584564549550293,32
377,2018395024110125980,31
358,1933472286753424063,31
220,1487580012717539489,31
61,1487580007072007091,31
67,1487580007214613434,31
257,1487580013657063630,30
171,1487580010846879833,29
299,1715102773747384334,29
421,2193074740493550411,29
279,1532652067498229876,29
244,1487580013321519293,28
347,1897124489259385629,28
197,1487580011786403970,28
60,1487580007046841266,28
283,1554383493545328915,27
147,1487580009672474664,27
59,1487580007021675441,26
423,2193074740619379535,26
327,1791442849384891169,26
174,1487580010955931741,26
90,1487580007894090712,26
396,2106514244437541443,25
164,1487580010695884882,25
432,2196456817758831535,25
295,1648815651034235876,25
357,1933364344720982871,24
266,1487580013917110492,24
350,1911999801642189621,24
208,1487580012172279951,24
281,1543705961326182546,24
332,1805953852441101266,23
424,2193074740686488401,23
397,2106514244487873093,23
371,1998040849203594085,23
196,1487580011752849537,22
328,1791442895991997390,22
245,1487580013338296510,22
373,1998040852064109417,22
265,1487580013900333275,22
407,2151191059751764547,21
16,1487580005486560104,21
345,1897124469017673788,21
388,2069171133327868014,21
287,1588205336064425989,20
121,1487580008909111303,20
115,1487580008699397117,19
95,1487580008011531230,19
395,2095736144888071137,19
414,2151191075757228942,19
179,1487580011241144426,19
376,2018287324474901238,19
335,1819693959081886239,19
375,2013754353822728372,19
417,2164688961165852944,18
420,2187790129827939246,18
30,1487580006015042434,18
321,1783999072365969578,17
21,1487580005629166447,17
76,1487580007524991942,17
353,1921723506584715388,17
330,1801635223591453292,17
217,1487580012616876188,17
182,1487580011333419118,16
291,1604427094756950459,16
175,1487580011031429216,16
329,1797122099068797194,16
308,1783999063574708423,16
341,1871018959927509750,16
393,2093602042093240877,16
62,1487580007097172916,16
110,1487580008422573041,15
96,1487580008028308447,15
394,2094448780651791052,14
33,1487580006098928518,14
313,1783999064170299632,14
435,2235524499636224267,14
331,1804383582576181309,14
65,1487580007172670392,14
94,1487580007986365405,13
48,1487580006627410849,13
301,1725504706412807026,13
288,1597769965795017114,13
380,2028340285225828822,13
286,1584505206060614455,12
163,1487580010662330448,12
387,2068966806634103136,12
390,2071303198680810125,12
309,1783999064036081896,12
225,1487580012876923048,12
356,1926797403503985079,11
27,1487580005880824699,11
401,2130081478220972046,11
152,1487580010192568379,10
367,1977683390215749955,10
97,1487580008053474272,10
360,1944358258223350494,10
339,1842735768846467167,10
325,1783999076535108182,10
223,1487580012784648356,9
