,variable,value,productos_tot_num,compras_tot_num,gasto_tot
0,F,1,10.614091493661583,1.3081021495498806,52.087509645416134
1,F,2,71.41605839416059,7.0583941605839415,320.46934306569347
2,F,3,123.63636363636364,12.0,643.1999999999999
3,F,4,156.75,16.5,560.155
4,F,5,124.0,23.5,652.425
5,M,1,10.12473475412861,1.3382230833102684,48.3605572469785
6,M,2,74.28235294117647,4.311764705882353,410.9815882352941
7,M,3,138.5,6.863636363636363,765.1763636363637
8,M,4,189.5,7.333333333333333,1043.9566666666667
9,M,5,336.6666666666667,6.333333333333333,1468.3433333333335
10,R,1,8.151935297515887,1.0831889081455806,41.56051993067591
11,R,2,9.247363796133568,1.1775043936731107,45.584499121265374
12,R,3,9.543016194331983,1.2874493927125505,47.25488866396761
13,R,4,11.720848056537102,1.4390459363957597,58.186135159010604
14,R,5,16.832438238453275,1.8242033655567491,79.03650196920874
15,RFM,111,7.966318234610918,1.0801393728222997,39.28440766550523
16,RFM,112,37.375,1.5,397.97625
17,RFM,114,94.0,3.0,1109.7
18,RFM,211,8.938938053097345,1.168141592920354,43.15869911504425
19,RFM,212,47.0,1.7272727272727273,391.1418181818181
20,RFM,213,35.5,1.0,662.835
21,RFM,221,85.66666666666667,6.333333333333333,194.47666666666666
22,RFM,311,8.982106339468302,1.2602249488752557,43.91496421267894
23,RFM,312,53.46153846153846,2.4615384615384617,376.3807692307692
24,RFM,321,39.0,6.5,141.285
25,RFM,322,121.0,6.5,389.185
26,RFM,324,195.0,8.0,1241.53
27,RFM,411,10.369801084990959,1.3625678119349005,49.98549276672694
28,RFM,412,60.69230769230769,2.5384615384615383,404.21500000000003
29,RFM,413,130.5,2.5,868.3
30,RFM,421,41.0,6.916666666666667,205.30666666666664
31,RFM,422,92.875,7.125,440.46500000000003
32,RFM,423,153.33333333333334,7.333333333333333,672.9666666666667
33,RFM,433,64.0,11.0,913.01
34,RFM,511,11.942034548944338,1.5032629558541266,56.070610364683304
35,RFM,512,78.79310344827586,3.0517241379310347,399.1822413793103
36,RFM,513,133.0,3.142857142857143,742.4842857142858
37,RFM,514,219.0,1.0,946.2
38,RFM,515,387.0,3.0,1475.83
39,RFM,521,47.88135593220339,6.830508474576271,192.19000000000003
40,RFM,522,89.51219512195122,7.512195121951219,442.49560975609756
41,RFM,523,184.66666666666666,7.333333333333333,766.9
42,RFM,524,190.0,6.0,947.3
43,RFM,531,58.25,11.5,233.845
44,RFM,532,94.0,12.5,448.08500000000004
45,RFM,533,200.0,11.0,858.26
46,RFM,534,219.5,13.0,1009.5050000000001
47,RFM,535,236.0,13.0,1453.3700000000001
48,RFM,541,121.5,16.5,288.655
49,RFM,543,192.0,16.5,831.655
50,RFM,552,126.0,24.0,484.81
51,RFM,553,122.0,23.0,820.04
52,valor,3,7.966318234610918,1.0801393728222997,39.28440766550523
53,valor,4,9.039241622574956,1.1693121693121693,44.410260141093474
54,valor,5,9.311167512690355,1.2705583756345178,46.08307614213198
55,valor,6,10.732078853046595,1.378584229390681,53.074090501792114
56,valor,7,12.63553875236295,1.5417769376181474,60.42176937618147
57,valor,8,66.13385826771653,5.05511811023622,313.0086614173228
58,valor,9,98.01785714285714,7.25,491.7057142857143
59,valor,10,140.88888888888889,10.222222222222221,625.9322222222222
60,valor,11,291.0,5.75,1189.305
61,valor,12,189.8,16.6,833.426
62,valor,13,179.0,18.0,1136.705
